date,ticker,price
2026-01-01,AAPL,180.49671415301123
2026-01-02,AAPL,180.35844985184005
2026-01-03,AAPL,181.00613838994073
2026-01-04,AAPL,182.52916824634877
2026-01-05,AAPL,182.29501487162543
2026-01-06,AAPL,182.06087791467624
2026-01-07,AAPL,183.64009073018363
2026-01-08,AAPL,184.40752545933654
2026-01-09,AAPL,183.9380510734016
2026-01-10,AAPL,184.48061111698757
2026-01-11,AAPL,184.0171934241751
2026-01-12,AAPL,183.55146367060485
2026-01-13,AAPL,183.79342594217087
2026-01-14,AAPL,181.8801456975131
2026-01-15,AAPL,180.15522786500006
